Model,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Accuracy,Precision,Recall,F1,ROC_AUC,FPR,FNR,Training_Time,TN,FP,FN,TP
Random Forest,0.9520596700813965,0.9572610888400362,0.9434142611355382,0.9502872364324915,0.9886528192047409,0.9542261149453747,0.9628737054647301,0.9420723935763446,0.9523594781768401,0.9897703321123701,0.03429809254467778,0.05792760642365537,20.75562882423401,16049,570,909,14783
LightGBM,0.9338305840116369,0.9366101913289957,0.9264640285477601,0.9315094823167607,0.981913722192296,0.9375444894927424,0.9427535293355783,0.9277338771348458,0.9351834007837091,0.9836354073082356,0.05319212949034238,0.07226612286515421,3.044828176498413,15735,884,1134,14558
XGBoost,0.9339543808610071,0.9365140686369197,0.9268463646211687,0.9316551370740456,0.9823369864167006,0.9370493020952617,0.9418348861283644,0.9276701503951058,0.9346988570694748,0.9837388448679255,0.05409471087309706,0.07232984960489422,2.9616730213165283,15720,899,1135,14557
Decision Tree,0.9299309832564762,0.9250490599480914,0.9311795067864653,0.9281041600508098,0.9299657312485703,0.9322212249698245,0.9295075709377784,0.9310476676013255,0.9302769818529131,0.9321884947309232,0.06667067813947891,0.06895233239867449,2.2798683643341064,15511,1108,1082,14610
Logistic Regression,0.7931354647024234,0.7769443590531817,0.8052634932772573,0.7908504912697916,0.8594253238956894,0.7926402773049426,0.7764727585782807,0.8046775426969156,0.7903235901608562,0.8584917546824755,0.2187255550875504,0.19532245730308437,0.5398621559143066,12984,3635,3065,12627
