Model,Accuracy,Precision,Recall,F1,ROC_AUC,FPR,FNR,Training_Time,TN,FP,FN,TP
Random Forest,0.9019993003794097,0.9888262072270262,0.8702102781345243,0.9257340946166395,0.9771615527990916,0.023152953919754478,0.12978972186547566,15.454402446746826,21644,513,6771,45398
XGBoost,0.8931464090627775,0.9834291585597796,0.862293699323353,0.9188863469237682,0.9764417583895456,0.034210407546147945,0.13770630067664705,2.8295340538024902,21399,758,7184,44985
LightGBM,0.8918817103032586,0.9837341342043536,0.8601851674366002,0.9178205469085554,0.9759009327254443,0.03348828812564878,0.13981483256339972,1.8030121326446533,21415,742,7294,44875
Decision Tree,0.8839302532088368,0.9769321766561514,0.8548179953612298,0.9118046965251438,0.9036467554998143,0.0475244843616013,0.14518200463877015,1.2531719207763672,21104,1053,7574,44595
Logistic Regression,0.7308478863385626,0.9073248568968137,0.6866721616285534,0.7817263314093681,0.8834486854679184,0.1651396849754028,0.3133278383714466,0.6133112907409668,18498,3659,16346,35823
