Model,Accuracy,Precision,Recall,F1,ROC_AUC,FPR,FNR,Training_Time
Random Forest,0.9542261149453748,0.96287370546473,0.9420723935763446,0.95235947817684,0.98977033211237,0.0342980925446777,0.0579276064236553,19.853962182998657
LightGBM,0.9375444894927424,0.9427535293355784,0.9277338771348458,0.9351834007837092,0.9836354073082356,0.0531921294903423,0.0722661228651542,1.8769395351409912
XGBoost,0.9370493020952616,0.9418348861283644,0.9276701503951058,0.9346988570694748,0.9837388448679256,0.054094710873097,0.0723298496048942,2.783590793609619
Decision Tree,0.9322212249698244,0.9295075709377784,0.9310476676013256,0.9302769818529132,0.9321884947309232,0.0666706781394789,0.0689523323986744,2.3180248737335205
Logistic Regression,0.7926402773049426,0.7764727585782807,0.8046775426969156,0.7903235901608562,0.8584917546824755,0.2187255550875504,0.1953224573030843,0.3770425319671631
