Experiment,Model,Accuracy,Precision,Recall,F1,ROC_AUC,FPR,FNR,Threshold
Standard Test,Random Forest,0.9542261149453748,0.96287370546473,0.9420723935763446,0.95235947817684,0.98977033211237,0.0342980925446777,0.0579276064236553,0.5
Unseen-Family Test,Random Forest,0.9019993003794096,0.9888262072270262,0.8702102781345243,0.9257340946166396,0.9771615527990916,0.0231529539197544,0.1297897218654756,0.5
Threshold Optimization,Random Forest,0.9274950892016252,0.9388038421131624,0.9592286606988824,0.9489063551809468,,0.1472220968542672,0.0407713393011175,0.1
