FPR,TPR,Threshold
0.0,0.0,inf
0.0007220651062037427,0.6106933469283712,1.0
0.000782237198387388,0.6704053020647464,0.995
0.0009627534749383236,0.699910782564364,0.99
0.0012034418436729045,0.7201121590619424,0.985
0.001624646488958421,0.7362987509559011,0.98
0.0019856790420602925,0.7481519245475401,0.975
0.002166195318611228,0.7577746622482794,0.97
0.002406883687345809,0.7674611266887587,0.965
0.00264757205608039,0.7760005098139179,0.96
0.0028882604248149707,0.7830104511853173,0.955
0.003249292977916842,0.7891282182003568,0.95
0.0036103255310187135,0.7950548049961764,0.945
0.00403153017630423,0.800152944175376,0.94
0.004332390637222456,0.8041040020392557,0.935
0.004512906913773392,0.8089472342594953,0.93
0.004573079005957037,0.812643385164415,0.925
0.004934111559058908,0.8176140708641346,0.92
0.0051747999277934895,0.8219474891664542,0.915
0.00541548829652807,0.8260260005098139,0.91
0.005656176665262651,0.8303594188121336,0.905
0.005716348757446296,0.8337369360183533,0.9
0.005716348757446296,0.837879174101453,0.895
0.005836692941813587,0.8406194239102728,0.89
0.006017209218364523,0.8433596737190925,0.885
0.006077381310548168,0.8460999235279123,0.88
0.006558758048017329,0.849095080295692,0.875
0.0067994464167519105,0.8516441498852919,0.87
0.006979962693302846,0.8536196788172317,0.865
0.007040134785486492,0.8563599286260515,0.86
0.007220651062037427,0.8600560795309712,0.855
0.007280823154221072,0.862031608462911,0.85
0.0075816836151392985,0.8641983176140708,0.845
0.00782237198387388,0.8670022941626306,0.84
0.008002888260424815,0.8695513637522304,0.835
0.008123232444792105,0.8718455263828703,0.83
0.008664781274444913,0.8730563344379302,0.825
0.008785125458812203,0.87503186336987,0.82
0.009025813827546783,0.8770073923018098,0.815
0.00932667428846501,0.8794290084119296,0.81
0.009386846380648656,0.8809584501656895,0.805
0.0094470184728323,0.8828702523578894,0.8
0.009567362657199591,0.8844634208513893,0.795
0.010108911486852399,0.8860565893448891,0.79
0.01046994403995427,0.8880321182768289,0.785
0.01071063240868885,0.8894341065511089,0.78
0.011071664961790722,0.8906449146061688,0.775
0.011432697514892592,0.8920469028804486,0.77
0.011914074252361755,0.8933214376752485,0.765
0.012034418436729045,0.8945322457303084,0.76
0.012395450989830916,0.8959979607443284,0.755
0.012636139358565498,0.8967626816212083,0.75
0.012876827727300078,0.8987382105531481,0.745
0.013237860280401949,0.899949018608208,0.74
0.013538720741320176,0.9013510068824879,0.735
0.013839581202238401,0.9031353555952077,0.73
0.014320957939707564,0.9041549834310477,0.725
0.014681990492809435,0.9051746112668876,0.72
0.01486250676936037,0.9060667856232475,0.715
0.015223539322462242,0.9073413204180474,0.71
0.015524399783380468,0.9084884017333673,0.705
0.01588543233648234,0.9100178434871272,0.7
0.01624646488958421,0.9110374713229671,0.695
0.016547325350502438,0.9120570991588071,0.69
0.0170287020879716,0.912821820035687,0.685
0.017449906733257116,0.9137139943920469,0.68
0.017690595101991696,0.9147973489676268,0.675
0.018232143931644504,0.9161356105021667,0.67
0.01877369276129731,0.9175375987764466,0.665
0.019134725314399182,0.9186846800917665,0.66
0.01979661832841928,0.9196405811878664,0.655
0.020458511342439378,0.9204690288044863,0.65
0.020819543895541248,0.9212337496813663,0.645
0.02118057644864312,0.9216798368595462,0.64
