Precision,Recall
0.48565504007923,1.0
0.5977655761458095,0.9990440989039001
0.6394627255654446,0.9981519245475401
0.6650376099613277,0.9972597501911802
0.687337933459324,0.9966224827937803
0.7036003600360036,0.9963038490950803
0.7184367816091954,0.9957940351771604
0.7306198830409357,0.9952204945195003
0.7416349809885932,0.9943920469028804
0.7523634960447617,0.9940096864644404
0.7615418437637403,0.9933724190670405
0.7699530516431925,0.9928626051491206
0.7786503926767046,0.9919704307927606
0.7869208982399353,0.9915243436145806
0.7944316730523627,0.9910145296966607
0.8014648991592304,0.9901860820800408
0.8073742784336159,0.9893576344634208
0.8128241395568129,0.9887840938057609
0.8181818181818182,0.9882105531481009
0.8229797175321227,0.987764465969921
0.828663101604278,0.987509559010961
0.833449927352957,0.986999745093041
0.8382695327305214,0.986617384654601
0.8430603236880824,0.9859163905174612
0.847135502245591,0.9856614835585011
0.8507043803653973,0.9851516696405812
0.8548190771273653,0.9845781289829212
0.8583337964764075,0.9841957685444813
0.861776363534863,0.9837496813663013
0.864798206278027,0.9831761407086413
0.8676983680360157,0.9826026000509814
0.8703065891254023,0.9822839663522814
0.8731300997280145,0.9819653326535814
0.8754547521600727,0.9814555187356615
0.8785596073731667,0.9810731582972215
0.8818473527389411,0.9807545245985215
0.8844671919029271,0.9801172572011216
0.8866139915796759,0.9796711700229416
0.8894227985873907,0.9790339026255417
0.8913333720322749,0.9785240887076218
0.8935724266418258,0.9780780015294418
0.895261990897421,0.9777593678307418
0.8973548689138576,0.9771858271730818
0.8995889606576629,0.9762936528167219
0.9016837395502179,0.976038745857762
0.9029309429734033,0.975720112159062
0.904657760964653,0.975337751720622
0.9059520284275985,0.974827937802702
0.907784573362627,0.974254397145042
0.9089881625126406,0.9738083099668621
0.9102938546820051,0.9732347693092022
0.9126068503795803,0.9729161356105022
0.9138922155688622,0.9725975019118022
0.9153467722582194,0.9722788682131022
0.9176746705181441,0.9717690542951822
0.9189629182996684,0.9712592403772623
0.919876826470233,0.9708768799388223
0.9214285714285714,0.9700484323222024
0.9229649399490477,0.9696660718837624
0.9250182437363172,0.9693474381850624
0.9263254113345522,0.9687101707876625
0.9277034865970568,0.9682003568697426
0.9288116934744053,0.9678179964313026
0.929687021498132,0.9673081825133826
0.931421905697446,0.9667983685954626
0.932525525894944,0.9661611011980628
0.9337895320880341,0.9652689268417027
0.9348564371719666,0.9648228396635228
0.9361544172234595,0.9643130257456028
0.9376433397384244,0.9639943920469028
0.9383497858074129,0.9631659444302829
0.9392450718238915,0.962528677032883
0.9403078073400212,0.9617002294162631
0.941389426377879,0.9611266887586031
0.9421875,0.9606806015804231
0.943084340366915,0.9598521539638032
0.9440506805494574,0.9591511598266632
0.9449085997864187,0.9585776191690033
0.9455940625196553,0.9580678052510834
0.9461586901763224,0.9574942645934233
0.947126001640482,0.9566020902370634
0.9478771796815769,0.9560922763191435
0.9484907928874264,0.9552001019627836
0.9495532036250713,0.9548177415243436
0.9506604013208027,0.9540530206474637
0.9509760284860431,0.9530971195513638
0.9515595162316995,0.9526510323731838
0.9525631216526397,0.9520774917155238
0.9531439514842005,0.9515039510578639
0.9539671376510453,0.9508666836604639
0.9546181911284645,0.9504205964822839
0.9551894352202064,0.949528422125924
0.9561335902376364,0.9486999745093041
0.9566503730383329,0.9478715268926842
0.9573426122817191,0.9467881723171042
0.9582499838678454,0.9463420851389243
0.9592681192215685,0.9455136375223043
0.960111377323059,0.9448763701249044
0.9610642439974043,0.9437930155493245
0.9616708893652959,0.9433469283711445
0.9621512648761137,0.9428371144532246
0.9628737054647301,0.9420723935763446
0.9631705886187341,0.9416263063981647
0.9639616112815825,0.9409253122610247
0.9644421204000262,0.9402880448636248
0.9649869109947644,0.9396507774662248
0.9656506063585709,0.9387586031098649
0.966205131570313,0.938312515931685
0.9667608224397294,0.937866428753505
0.9671074271429512,0.936846800917665
0.967659069951258,0.9362095335202651
0.9684078617596623,0.9356997196023451
0.9687046084774859,0.9349987254652052
0.9692521325133902,0.9341065511088452
0.9698735350592598,0.9334692837114453
0.9704946293595014,0.9327682895743054
0.9709865887664321,0.9320035686974254
0.9712880499800611,0.9313025745602855
0.9717784877529286,0.9304104002039255
0.9722740602505998,0.9296456793270457
0.9727005740221599,0.9286897782309457
0.97294769888451,0.9282436910527657
