Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,FPR,FNR,TN,FP,FN,TP
0.1,0.8901921946086472,0.8221998195999364,0.98744663225642,0.8972785176606832,0.9886528192047409,0.2016488145384523,0.01255336774357994,13267,3351,197,15496
0.2,0.9284763702763764,0.887165837287351,0.9769961129165871,0.9299166034874905,0.9886528192047409,0.11734264051029004,0.023003887083412985,14668,1950,361,15332
0.3,0.9436105351118814,0.9210734017363852,0.9667367616134582,0.9433528168138291,0.9886528192047409,0.07822842700686003,0.03326323838654177,15318,1300,522,15171
0.4,0.9501717681285011,0.9427780921838647,0.9553941247690053,0.9490441828079503,0.9886528192047409,0.05475989890480202,0.04460587523099471,15708,910,700,14993
0.5,0.9520596700813965,0.9566115702479339,0.9441152106034537,0.9503223116641545,0.9886528192047409,0.040438079191238416,0.05588478939654623,15946,672,877,14816
0.6,0.9496146823063353,0.9676175277611543,0.9272924233734786,0.9470259013406221,0.9886528192047409,0.02930557227103141,0.07270757662652137,16131,487,1141,14552
0.7,0.9435486366871964,0.9772868056989469,0.9047983177212771,0.9396466150486401,0.9886528192047409,0.019857985317126008,0.095201682278723,16288,330,1494,14199
0.8,0.9341091269227199,0.9856774563162418,0.8770789523991589,0.9282125636443336,0.9886528192047409,0.012035142616440005,0.12292104760084115,16418,200,1929,13764
0.9,0.9136207483519544,0.992442748091603,0.8284585483973747,0.9030667176049735,0.9886528192047409,0.005957395595137803,0.17154145160262538,16519,99,2692,13001
