Feature,Mean_Absolute_SHAP
Year,0.17441060523606772
Entropy,0.13893871287785367
Size,0.06463458623852451
Packed,0.06005499392899998
Unique_API_Count,0.028048607492597456
DLL_Count,0.027266178308260454
API_Count,0.026139628290960882
Unique_DLL_Count,0.022265007662522075
